system:index,category,extremeMonths,meanNino,meanSST,onsetRate,peakMonth,peakSST,peakValue,strongMonths,year,.geo
20,El Nino,0,0.6069151000888215,27.599555900465493,1.0305722173949816,11.0,28.304995242244832,1.435803956748938,0,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,Neutral,0,0.2646372589184864,27.25728064752214,-1.0088502788040112,1.0,27.719268064983314,0.8388234595501229,0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,Neutral,0,0.4015165340658058,27.394674200370307,0.013231759681771704,11.0,27.94160606636552,0.7999212682753208,0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,Neutral,0,0.1035822907464945,27.096642245347656,-0.18531401667652686,1.0,28.087276665002367,0.563061870035755,0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,Neutral,0,0.15651215426850246,27.149572827025697,1.2422683264545782,12.0,27.805748672060233,1.1836319607819832,0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,Neutral,0,-0.3873683824683076,26.605690756329253,-0.6703441769469831,1.0,27.681084089403882,0.7045222853006652,0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,La Nina,0,-0.6039101012135123,26.38924924703889,1.1783055099655706,8.0,27.17067345376477,0.010936145442257869,0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,Neutral,0,0.4516210754515357,27.44468247141646,1.4595686465842097,12.0,28.324134968674198,1.781316339899393,2,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,Neutral,0,-0.23116397033254046,26.76190142303702,-1.8857911395027722,1.0,28.386908609514062,1.5002957816351281,1,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,La Nina,0,-0.663740594393862,26.32931743147657,1.401996327146426,7.0,27.474256466138442,-0.038548544082637734,0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,Neutral,0,0.05667106651459359,27.049831339782997,1.1263109660978046,8.0,27.951490770014626,0.772018663232625,0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,Neutral,0,-0.1554279013128562,26.83720942166306,0.3823782727534959,4.0,27.909075381641486,0.2535022589174448,0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,Neutral,0,0.19870428806775897,27.1917658640853,1.2057842162343042,11.0,28.31661285021767,0.964965027922936,0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,Strong El Nino,3,1.4583754113587322,28.451433622888132,0.7591351072751982,11.0,29.556241092840985,2.968292262377451,5,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,Neutral,2,0.45827816648896463,27.451436893635947,-2.2844392609580506,1.0,29.04523931421544,2.4577759318580186,3,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,Neutral,0,-0.015137457409295748,26.977926008864713,0.8962625545037175,6.0,28.28565921014585,0.5718433547080368,0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,Neutral,0,0.15303903331539354,27.146099160805004,1.0838420467163652,11.0,27.846516095344356,1.0838861540554932,0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,El Nino,0,0.6164876355645457,27.60955039814198,0.15127022458036965,3.0,28.618660971025932,1.0000772660675517,0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,Neutral,0,-0.20801832832026276,26.785143286306933,-0.5744187084782989,4.0,28.20330930389446,0.5477439763440728,0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,Neutral,0,-0.4777134897858956,26.515350769209636,1.1032269256285014,6.0,27.66036991991423,0.14032304849261648,0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,La Nina,0,-0.7760371197931649,26.217021164722908,0.4033740722763077,6.0,27.035878621356353,-0.4841637267775637,0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,El Nino,2,0.8959654208966454,27.88902699997368,1.823407641510581,11.0,28.696206098333395,2.1082627627348427,4,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,Neutral,0,0.4823211917999562,27.475478773041015,-1.3163759118012477,1.0,28.635587762561226,1.7337589239687665,1,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,Neutral,0,-0.23006077083117674,26.76305953749822,1.004316866707506,6.0,27.84235772247636,0.2047020672787595,0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
